MatvareID;Matvare;Vann;Kilojoule;Fett;Kolesterol;Karbohydrat;Kostfiber;Protein;Vitamin A;Vitamin D;Vitamin E;Vitamin C
;;g;kJ;g;mg;g;g;g;RAE;Êg;alfa-TE;mg
08.246;Margarin, Soft ekstra, beger;28;2599;70;0;0.3;0;0.2;979;8;8;0
08.247;Smõr, meierismõr, ekstra salt, Kviteseidsmõr;16;3031;81;219;1;0;1;1134;10;1.7;0
09.131;NõttepÜlegg, type Nugatti, mindre sukker;1;1937;25.8;5;42.6;19.5;6;0;0;5.4;0
09.132;SjokoladepÜlegg, type Sjokade, mindre sukker;12;1850;18.8;1;59.6;15.1;1.2;0;0;1.2;0
09.133;Sjokolade, mõrk, 70% kakao;0;2478;46.5;3;32.5;10.9;6.9;1;0;0.6;0
09.134;Sjokolade, hvit;1;2272;30.9;20;58.3;0.2;8;19;0;1.1;0
13.037;Vann, mineralvann, kildevann, lite salt (Na), med/uten kullsyre;100;0;0;0;0;0;0;0;0;0;0
13.042;Te, grõnn, tilberedt;100;2;0;0;0;0;0.1;0;0;0;3
13.043;Brus, Tonic water;90;153;0;0;9;0;0;0;0;0;0
13.044;Brus, Bitter lemon;90;187;0;0;11;0;0;0;0;0;1
13.045;Brus, cola, med sukker;90;180;0;0;10.6;0;0;0;0;0;0
13.046;Brus, med fruktjuice, med sukker, type Solo, Mozell o.l.;88;187;0;0;11;0;0;0;0;0;1
13.047;Brus, cola, kunstig sõtet, lett;100;0;0;0;0;0;0;0;0;0;0
13.048;Brus, med fruktjuice, kunstig sõtet, lett, type Solo, Mozell o.l.;100;17;0;0;1;0;0;0;0;0;1
13.049;ùl, sterkõl, bokkõl, 6,5 vol-% alkohol;88;265;0;0;6;0;0.7;0;0;0;0
13.050;ùl, redusert energiinnhold, lavkarbo;94;134;0;0;1;0;0.4;0;0;0;0
13.051;ùl, mõrkt, type Bayer og juleõl, 4,5-4,7 vol % alkohol;91;177;0;0;4.1;0;0;0;0;0;0
13.052;Sterkvin, sõt, vermouth, 15 vol-% alkohol;72;545;0;0;13.3;0;0;0;0;0;0
13.053;Likõr, sõt, 21 vol-% alkohol;55;943;0;0;29.9;0;0;0;0;0;0
13.054;Likõr, 17 vol-% alkohol, flõtebasert;47;1322;14.6;0;22.5;0;3;180;0;0.5;0
13.055;Sterkvin, sõt, portvin, 20 vol-% alkohol;72;629;0;0;9.6;0;0.1;0;0;0;0
13.056;Vin, hvitvin, halvsõt/sõt, inkl musserende;88;299;0;0;3.4;0;0.2;0;0;0;0
13.057;Vin, dessertvin, ekstra sõt, musserende;87;316;0;0;3.7;0;0.2;0;0;0;0
13.058;Hvitvin, rosÇ, musserende, uspesifisert;81;436;0;0;6;0;0.2;0;0;0;0
13.059;Vin, rõdvin, tõrr;88;266;0;0;0.2;0;0.1;0;0;0;0
13.060;Rõdvin, uspesifisert;88;289;0;0;0.5;0;0.1;0;0;0;0
13.061;Smoothie med yoghurt, juice, banan og bër;84;252;1.2;3;9.9;1.3;1.7;11;0;0.5;18
13.062;Smoothie med juice, banan og bër;83;241;0.3;0;11.8;1.8;0.9;1;0;0.5;19
13.063;Cider, sõt, 4,5 vol% alkohol;89;249;0;0;8.5;0;0;0;0;0;0
13.064;Energidrikk med taurin, koffein og B-vitaminer;88;209;0;0;12.1;0;0.2;0;0;0;0
13.065;Energidrikk med taurin, koffein og B-vitaminer, sukkerfri;88;202;0;0;11.5;0;0.4;0;0;0;0
13.066;Soyadrikke, sõtet, tilsatt kalsium;90;264;2;0;7.7;0.6;3.2;0;0;0.3;1
13.067;Soyadrikke, usõtet;93;146;2.2;0;0.1;0.6;3.4;0;0;0.3;0
13.068;Havredrikke, med kalsium og vitaminer;91;191;1.6;0;6.5;0.8;0.9;0;0.5;0.1;0
01.233;Skyr, syrnet melkeprodukt, med smak, kunstig sõtet;83;248;0.2;0;4;0.3;10;0;0;0;1
